symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
PFE,2016-11-28 00:00:00+00:00,31.54,31.835,31.5,31.69,17735150,24.7685766027,25.00024211,24.7371643306,24.8863726233,18692848,0.0,1.0
PFE,2016-11-29 00:00:00+00:00,31.92,31.97,31.61,31.85,21641779,25.0669931883,25.1062585285,24.823548079,25.012021712,22810435,0.0,1.0
PFE,2016-11-30 00:00:00+00:00,32.14,32.365,31.75,31.98,38517286,25.2397606852,25.4164547161,24.9334910316,25.1141115966,40597219,0.0,1.0
PFE,2016-12-01 00:00:00+00:00,31.46,32.25,31.4,32.25,30606411,24.7057520584,25.3261444337,24.6586336501,25.3261444337,32259157,0.0,1.0
PFE,2016-12-02 00:00:00+00:00,31.63,31.73,31.36,31.54,19007839,24.8392542151,24.9177848955,24.627221378,24.7685766027,20034262,0.0,1.0
PFE,2016-12-05 00:00:00+00:00,31.59,31.7667,31.39,31.74,19300328,24.8078419429,24.9466056552,24.6507805821,24.9256379636,20342545,0.0,1.0
PFE,2016-12-06 00:00:00+00:00,31.56,31.7,31.43,31.65,17706806,24.7842827388,24.8942256914,24.6821928543,24.8549603512,18662973,0.0,1.0
PFE,2016-12-07 00:00:00+00:00,31.19,31.33,30.605,31.33,44053675,24.4937192213,24.6036621739,24.0343147409,24.6036621739,46432573,0.0,1.0
PFE,2016-12-08 00:00:00+00:00,30.94,31.1,30.51,30.84,35478489,24.2973925202,24.4230416089,23.9597105945,24.2188618398,37394327,0.0,1.0
PFE,2016-12-09 00:00:00+00:00,31.7,31.92,31.09,31.11,29350843,24.8942256914,25.0669931883,24.4151885409,24.4308946769,30935788,0.0,1.0
PFE,2016-12-12 00:00:00+00:00,32.4,32.65,31.66,31.7,32255395,25.4439404543,25.6402671553,24.8628134192,24.8942256914,33997186,0.0,1.0
PFE,2016-12-13 00:00:00+00:00,32.83,32.88,32.56,32.81,28760300,25.7816223801,25.8208877203,25.569589543,25.765916244,30313356,0.0,1.0
PFE,2016-12-14 00:00:00+00:00,32.82,33.3,32.64,32.92,36345898,25.773769312,26.150716578,25.6324140873,25.8522999924,38308576,0.0,1.0
PFE,2016-12-15 00:00:00+00:00,32.75,32.955,32.6,32.63,20877122,25.7187978357,25.8797857306,25.6010018151,25.6245610192,22004486,0.0,1.0
PFE,2016-12-16 00:00:00+00:00,32.84,32.94,32.52,32.88,36843862,25.7894754481,25.8680061285,25.5381772708,25.8208877203,38833430,0.0,1.0
PFE,2016-12-19 00:00:00+00:00,32.83,32.97,32.72,32.76,24930649,25.7816223801,25.8915653327,25.6952386316,25.7266509038,26276904,0.0,1.0
PFE,2016-12-20 00:00:00+00:00,32.85,32.88,32.57,32.78,25074289,25.7973285162,25.8208877203,25.577442611,25.7423570399,26428300,0.0,1.0
PFE,2016-12-21 00:00:00+00:00,32.4,32.93,32.33,32.73,18739577,25.4439404543,25.8601530605,25.388968978,25.7030916997,19751514,0.0,1.0
PFE,2016-12-22 00:00:00+00:00,32.34,32.43,32.05,32.29,18613336,25.396822046,25.4674996584,25.1690830728,25.3575567058,19618456,0.0,1.0
PFE,2016-12-23 00:00:00+00:00,32.48,32.56,32.36,32.41,10804464,25.5067649986,25.569589543,25.4125281821,25.4517935223,11387905,0.0,1.0
PFE,2016-12-27 00:00:00+00:00,32.53,32.72,32.48,32.57,11220052,25.5460303388,25.6952386316,25.5067649986,25.577442611,11825934,0.0,1.0
PFE,2016-12-28 00:00:00+00:00,32.35,32.69,32.34,32.5,13938755,25.4046751141,25.6716794275,25.396822046,25.5224711347,14691447,0.0,1.0
PFE,2016-12-29 00:00:00+00:00,32.49,32.62,32.37,32.39,14067567,25.5146180667,25.6167079512,25.4203812502,25.4360873863,14827215,0.0,1.0
